G-G
-0.6232492903979004
10.0
10.0
10.0
10.0
-0.651278013998144
-0.8878500204352068
10.0
-1.505149978319906
-1.2591675489868304
-0.814532048348653
-0.4489713721056875
-0.5818566052396754
-0.5509074688805811
-0.6205433970219756
-0.36797678529459443
-0.35461282373661296
-0.4074135245640674
-0.3590219426416679
-0.43820318868929276
10.0
