C-C
-0.34365472273189784
10.0
10.0
10.0
-1.94571471405986
-0.37168344633214134
-0.608255452769204
10.0
10.0
-0.9795729813208276
-0.5349374806826503
-0.16937680443968495
-0.3022620375736727
-0.27131290121457835
-0.34094882935597287
-0.0883822176285917
-0.07501825607061023
-0.12781895689806472
-0.07942737497566531
-0.15860862102329015
10.0
